z,zerr,mean_fiber_ra,mean_fiber_dec
-7.950820291840645e-05,2.5823024645616365e-06,241.40396,44.025993
1.2609478830651049,0.00013221222755399912,241.37685,44.068615
1.26010195778535,6.629275274622292e-05,241.43492,43.858555
1.2142873291153873,7.687320836441452e-05,241.39523,43.93373
0.11003030902784858,9.547887988957873e-06,241.4019,43.95394
0.3188329714145834,7.701748123189216e-05,241.35114,43.90962
1.2181280736985685,4.915699488258063e-05,241.38937,43.869507
0.5976366961458025,7.036920392395103e-05,241.37625,43.858654
-0.0002161956094345171,2.3275222702174888e-05,241.36665,43.868107
-0.0003469761483628559,3.3255510526542655e-06,241.31038,43.878902
0.9229466530620503,0.0004494181046192338,241.31046,43.93097
0.43871232391422044,0.00012990908504561225,241.25443,43.907562
-0.0007264890429493965,4.393420939834607e-06,241.36812,43.978703
0.9196858026503243,3.539196418247802e-05,241.34546,44.006245
-0.00020467216348966534,3.0428890375098368e-05,241.27437,43.983692
0.3494785363071278,5.322969745871666e-05,241.31267,44.01319
0.4473993055407384,2.6350780641308767e-05,241.28186,44.002914
-0.0008136438613239751,2.2503565743684814e-05,241.25418,44.00727
-2.924148539385956e-05,1.201909961742837e-05,241.24942,44.006752
-0.00012097716310520098,3.40531014529762e-05,241.24791,44.041275
0.3499207633310998,6.0392831070381445e-05,241.29295,43.941494
-0.0004657162373392031,4.985837797808051e-05,241.26567,43.9554
-0.0007458138451462498,1.579511743672523e-05,241.24161,43.95633
4.409672938398619e-05,6.638925640412248e-06,241.24632,43.99343
0.0001837711292120232,0.00013682596753224972,241.1846,44.015644
0.4247622512416303,9.299994185049922e-06,241.15054,43.995277
-0.00023130912131667493,2.5438078115584282e-06,242.0425,44.372475
-0.0009376543103031405,1.4384438303289078e-05,242.03099,44.396297
-0.00014652611549243578,3.8569655123932875e-05,242.00087,44.27716
9.291653514720852e-06,2.4472907250681014e-06,241.98553,44.27202
1.1601709507830964,0.00012904822022126306,241.95644,44.35682
0.25021989807583694,5.9016751320883775e-06,241.90263,44.28586
-0.000412008076296192,2.4239161391615515e-05,241.86287,44.334137
0.7197030730951889,2.6880595485135757e-05,241.84013,44.32152
0.715471130379256,3.8269588893165435e-05,241.92703,44.379227
1.112455171157041,5.519299200984244e-05,241.86418,44.34813
2.533452974046349,0.0003862994256472282,241.86807,44.36202
2.8198267962622183,0.0008297755614877846,241.85204,44.384815
0.8180895330513094,0.0001442555215852884,241.82875,44.417046
0.9755268521856533,2.3863943462470673e-05,241.7846,44.41845
1.0462730567796463,4.9726968731431326e-05,241.75116,44.407562
0.6998552192009067,0.00010181075893003781,241.73811,44.439266
-0.00012468046656404345,4.455621468553051e-06,241.71556,44.44617
-0.00020311414870022388,1.85384267729775e-06,241.81346,44.237415
0.1586337016890336,9.925655159622465e-06,241.78262,44.200527
0.8124384301786113,7.888617688727692e-05,241.80034,44.28349
-7.961263386445923e-05,5.163235422223553e-06,241.78424,44.267193
0.7698360254343303,2.3406300430439565e-05,241.77385,44.303444
0.2661687006474712,1.4603931528775983e-05,241.76027,44.311882
-0.0003573250331304394,8.943400111708614e-06,241.67165,44.22824
0.38630313669944566,3.894848728575259e-05,241.62723,44.358356
0.00010619391089673954,1.2637676033939533e-05,241.61908,44.391468
